id,id_str,screen_name,location,Age,In-out-ratio,favorites-ratio,Status-ratio,Account-rep,Avg-tpd,Hashtags-ratio,User-mentions-ratio,Mal-url-ratio,Url-ratio,bot
8.16E+17,"""815745789754417152""","""HoustonPokeMap""","""Houston, TX""",,,,,,,,,,,1
4843621225,4843621225,kernyeahx,"Templeville town, MD, USA",,,,,,,,,,,1
4303727112,4303727112,mattlieberisbot,,,,,,,,,,,,1
3063139353,3063139353,sc_papers,,,,,,,,,,,,1
2955142070,2955142070,lucarivera16,"Dublin, United States",,,,,,,,,,,1
8.41E+17,8.41E+17,dantheimprover,"Austin, TX",,,,,,,,,,,1
2482834658,2482834658,_all_of_us_,in a machine.,,,,,,,,,,,1
3333573622,3333573622,KatamariItems,,,,,,,,,,,,1
2996105102,2996105102,AutophagyPapers,,,,,,,,,,,,1
3271095818,3271095818,HSC_papers,,,,,,,,,,,,1
2717905134,2717905134,everycheese,cheese land,,,,,,,,,,,1
2826073429,2826073429,gyr_papers,,,,,,,,,,,,1
8.1E+17,8.1E+17,lavon_court,,,,,,,,,,,,1
1027583707,1027583707,AjstyleAlen,,,,,,,,,,,,1
394991274,394991274,Rupesh93505,,,,,,,,,,,,1
3032363298,3032363298,hard_to_yelp,,,,,,,,,,,,1
2568851552,2568851552,fuckeverywordza,,,,,,,,,,,,1
2954704090,2954704090,yeahTonyaGonzal,"Pensacola, USA",,,,,,,,,,,1
8.39E+17,8.39E+17,BbbbggU,"_._______________, _________",,,,,,,,,,,1
2835723644,2835723644,ecin_gnihtaseod,,,,,,,,,,,,1
1918202534,1918202534,tofu_product,,,,,,,,,,,,1
2475875424,2475875424,onetruewiseman,AMERICA,,,,,,,,,,,1
1909219404,1909219404,everycolorbot,the RGB color space,,,,,,,,,,,1
4040207472,4040207472,himawari8bot,Space,,,,,,,,,,,1
3369547257,3369547257,emoji__polls,‰÷•ü,,,,,,,,,,,1
2555847008,2555847008,everytrolltroll,,,,,,,,,,,,1
2520449720,2520449720,hyphizer,#botALLY,,,,,,,,,,,1
8.29E+17,8.29E+17,GreenwadeGema,,,,,,,,,,,,1
2886558632,2886558632,par_papers,,,,,,,,,,,,1
2787206222,2787206222,everyMTGlegend,The Coast Where Wizards Chill,,,,,,,,,,,1
2364079946,2364079946,assembly_papers,,,,,,,,,,,,1
3369559252,3369559252,DeepDreamThis,"London, England",,,,,,,,,,,1
1184955668,1184955668,baron777111,,,,,,,,,,,,1
4855573727,4855573727,BestOpinionPoll,,,,,,,,,,,,1
2593449065,2593449065,dstroyeveryword,,,,,,,,,,,,1
7.61E+17,"""761165367985246208""","""917_7513""","""""",,,,,,,,,,,1
1892842986,1892842986,snowcloneminute,,,,,,,,,,,,1
2540286551,2540286551,NESGarbageBot,,,,,,,,,,,,1
2751246980,2751246980,BklynMuseumBot,"Brooklyn, NY",,,,,,,,,,,1
7.72E+17,7.72E+17,clitoscope,,,,,,,,,,,,1
