id,id_str,screen_name,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,url_ratio,avg_cosine_similarity,avg_tweet_sentiment,std_deviation_friends,std_deviation_followers,unique_urls_ratio,tweet_url_similarity,user_description_len,user_description_sentiment,special_char_in_description,tweet_count,description,bot
4303727112,4303727112,mattlieberisbot,88621120.44218493,1,0,1.1309267982611957,1,3.5587188612099645,0,0,0.0,0.40612985205455676,0.06891372294372293,0.0,2.1865925665390163e+17,0.0,0.0,92,0.23214285714285715,22,1163,RetiredInspiredbythesmartfunnyfolksatreplyallandgimletmediaAbotbyashur,1
3063139353,3063139353,sc_papers,111771716.38134289,1,0,1.297873958605637,1,2.577319587628866,0,0,1.0,0.5208468602085174,-0.014005802068302054,0.0,4.010979653380246e+17,1.0,0.75,0,0.0,0,1759,,1
545449655,545449655,DeportMalkin,203240871.38343406,2.0242424242424244,0.8140882238585312,1.357380521556287,0.6693386773547094,4.032258064516129,0.543,0.653,0.044,0.05169801088947004,-0.013362917568542576,6.525471650568548e+16,1.3057763736344213e+17,0.9772727272727273,0.18897427876895095,29,0.0,8,3192,LETSGOFLYERSANDEAGLES,0
9624742,9624742,StateDept,343663636.50976706,11403.366890380314,0.006033806838161265,14.22117990030959,0.9999123142906913,10.869565217391305,0.908,1.689,0.177,0.09563443235834328,0.0875890658068783,1.8711625865940877e+17,4.848418962253253e+17,0.8248587570621468,0.3809747108055935,121,0.65,23,57013,WelcometotheofficialUSDepartmentofStateTwitteraccountFollowSecPompeoformorefromtheSecretaryofState,0
3333573622,3333573622,KatamariItems,102005431.88150597,4727.5,0.011011178319452232,2.5876269050712746,0.9997885164428466,4.608294930875576,0.003,0.078,0.027,0.4492118347698092,0.004274339826839823,1158206228.0,2.7407725213032592e+17,0.9629629629629629,0.26228313964705563,95,0.0,19,3061,BotrolledupbyBeachEpisodeCataloguingeveryitemfromtheKatamariseriesoneatatime,1
2996105102,2996105102,AutophagyPapers,114460469.02375293,1,0.018871144058930554,11.076606716829879,1,8,0,0,1.0,0.47984545767351283,0.0006164393939393954,0.0,4.1847248908208416e+17,1.0,0.75,55,0.0,9,14910,TwitterbotforAutophagypapersCuratedbySoniaHall,1
3271095818,3271095818,HSC_papers,100389091.2578249,45.666666666666664,0,4.106167262151302,0.9785714285714285,4.672897196261682,0,0,1.0,0.4840338133613468,0.00986650974025974,1574781388.038454,4.2300130620738464e+17,1.0,0.75,0,0.0,0,4868,,1
2717905134,2717905134,everycheese,129142645.10930109,48,0,0.07426206883003732,0.9795918367346939,3.9642857142857144,0,0,0.0,0.39859210393944117,0.03786737286737286,0.0,2.1430932473391782e+17,0.0,0.0,116,0.0,23,111,cheesecheesecheeseupdateseveryhoursbythricedottedwithinspirationfromcheeseandmattlaschneider,1
2826073429,2826073429,gyr_papers,125292867.14365792,1,0,0.25514620846968267,1,1.3857677902621723,0.005405405405405406,0,1.0,0.2955230204194133,-0.0021159286907318398,0.0,3.7606883479794464e+17,1.0,0.75,107,0.0,19,381,LiteraturebotsearchingarXivbiorXivPeerJPubMedforsupercoilingpapersMaintainedbyredgravel,1
394991274,394991274,Rupesh93505,217519047.46942592,0,0.01588826376451363,0.04329551875829964,0,1.4342105263157894,0.1743119266055046,1.1926605504587156,0.05357142857142857,0.02451188416098651,0.11097132034632033,9.103227067870483e+16,0.0,0.8333333333333334,0.263921065562303,0,0.0,0,112,,1
3032363298,3032363298,hard_to_yelp,112248017.66682792,1,0,18.01770082036544,1,22.727272727272727,0,0,0.0,0.27362180184589985,-0.2081008523883511,0.0,2.7393479404951526e+17,0.0,0.0,0,0.0,0,23408,,1
2568851552,2568851552,fuckeverywordza,133841191.87903595,1,0,20.4772115484223,1,43.47826086956522,0,0,0.0,0.5018728728728729,-0.3976999999999945,0.0,3.163839346128646e+17,0.0,0.0,99,-0.3,22,31721,WhywaituntilfortheZsFuckingeverywordintheEnglishlanguagebackwardsfromZtoA,1
2835723644,2835723644,ecin_gnihtaseod,124630407.02847409,1,0,14.909029379768285,1,37.03703703703704,0,0.032,0.0,0.24148795427454936,0.5184811922799499,0.0,8.601690740579862e+16,0.0,0.0,86,0.4,19,21506,straightupripoffofdoesathingniceexceptitsabotreportstothricedotted,1
1918202534,1918202534,tofu_product,156192919.3410759,0.8205200413029193,0.18309664817487756,36.51035670539711,0.45070640404248735,7.352941176470588,0.177,0.97,0.0,0.020178764995029738,0.05990091810966809,6.977149244157888e+16,1.5869230269078237e+17,0.0,0.0,88,0.0,22,66003,FollowmetochatReflectingyourpersonalitybackatyousinceByzhaytee,1
2475875424,2475875424,onetruewiseman,137539590.5314169,5,0.002512731051944333,3.9135786134032986,0.8333333333333334,33.333333333333336,0.413,0.004,0.029,0.021830132496751822,0.07859337649453714,186017134.56071356,1204612873.8123133,0.9655172413793104,0.22258157588180427,112,-0.16666666666666666,19,6230,TheTruestWisdomakatryingtomakeevenlesssensefromleadingRepublicanpresidentialcandidatesfor,1
1909219404,1909219404,everycolorbot,156452980.22220802,1,0.0011044851926411024,23.8673727703779,1,23.25581395348837,0,0,0.0,0.6000000000006762,0.0,0.0,4.51503506045981e+17,0.0,0.0,91,0.25,22,43897,colorsallofemdevelopedbyvogonfeelfreetosendhimfeedbackfeaturerequests,1
4040207472,4040207472,himawari8bot,90692775.57851005,1617,0.008574001567818979,10.322145220813182,0.9993819530284301,6.410256410256411,0,0.001,0.815,0.6126232170010483,0.0005,1563100947.8445292,2.8799322022635968e+17,1.0,0.8292015780623164,136,0.0,30,10835,UnofficialimagerycourtesyJapanMeteorologicalAgencyhttpstcolzPXaTnMCiandCIRAhttpstcoYksnDoJElBotbyjcbl,1
3369547257,3369547257,emoji__polls,100130614.6175251,241.5,0.00431436480890621,19.572547392083912,0.9958762886597938,23.25581395348837,0,0,0.0,0.0,0.0,1052356241.5,3.946499410418951e+17,0.0,0.0,81,-0.5,17,23362,AsillybotbyfourtonfishbotwikidotorgImagecredithttpstcoXtmCyoI,1
2555847008,2555847008,everytrolltroll,134406069.81978202,27,0,0.09321007612824429,0.9642857142857143,72.5,0,2.268965517241379,0.0,0.2168050273091905,0.08839080459770114,0.0,1327804342.5090072,0.0,0.0,104,-0.5,18,145,exposingtheBLATANTHYPOCRISYofeverycanontrollbecausethricedottedwasjustTHATANGRYaboutit,1
2520449720,2520449720,hyphizer,135746491.29271102,86,0,3.6177553859645855,0.9885057471264368,5.9523809523809526,0,0,0.0,0.00017560328318184248,-0.002368452380952381,1269522837.0,2.4959260873647674e+17,0.0,0.0,45,0.13636363636363635,10,5684,NewwordsfromtimetotimeByderekarnold,1
2886558632,2886558632,par_papers,121817254.08459997,1,0,18.513791145166792,1,9.345794392523365,0,0,1.0,0.21448820519130601,0.0012839824527324495,0.0,3.893083477356057e+17,1.0,0.75,130,0.0,26,26357,TwitterbotofParasitologypapersinPubMedbioRxivandPeerJPrePrintsImagefromhttptcozYvygHsURunbyFilipHusnik,1
2787206222,2787206222,everyMTGlegend,126968182.26288104,0.8636363636363636,0,0.12861174909309492,0.4634146341463415,3.5384615384615383,0,0.010869565217391304,0.9891304347826086,0.26333801003158325,0.0385525283894849,1279169581.3550856,1.9535919469963917e+17,0.9505494505494505,0.9092951247644028,74,0.55,16,189,tweetingeverylegendaryMTGcardasoftaskcompleteinyear,1
2364079946,2364079946,assembly_papers,143177222.640378,1,0.013275854671202063,18.261541548178037,1,27.027027027027028,0,0.001,1.0,0.24768991290314823,-0.039902427849927834,821302024.7912867,2.963978831382693e+17,1.0,0.75,36,0.0,5,30262,Papersondirectedandselfassembly,1
3369559252,3369559252,DeepDreamThis,100134964.72483897,570,0,20.879755695178954,0.9982486865148862,41.666666666666664,0.577,0.956,0.0,0.492140175053383,-0.003408333333333333,240478147.0,1.9043281298752486e+17,0.0,0.0,136,0.0,35,24199,TweetmeapictureandIlldeepdreamitforyouTweetmeandIlldreamyouravatarListofcommandsherehttptcoBRfLYAkWBA,1
4855573727,4855573727,BestOpinionPoll,82737892.344244,1,0.002088523107176074,3.604790882985904,1,3.787878787878788,0,0,0.0,0.7470431013755859,-0.718054942279935,0.0,3.890899034966337e+17,0.0,0.0,124,-0.16666666666666666,22,3561,expressyouropiniononhopelesslymundanethingswiththehighestqualitypollsthissideofTwitterAprojectbyNinji,1
2593449065,2593449065,dstroyeveryword,134412336.58354402,1943,0.36446654559532193,71.58585770153196,0.9994855967078189,62.5,0,0.003,0.0,0.5030334891410864,-0.20044999999999744,1888636680.0,3.3211814066156595e+17,0.0,0.0,110,-0.1,21,111366,DestroyeverywordintheenglishlanguageTaskwascompletedwhentheworldendedinBydangeredwolf,1
1892842986,1892842986,snowcloneminute,156848228.32730103,80.5,0.03525446260356335,462.40579427300963,0.9877300613496932,500,0,0,0.0,0.0091348795643543,0.02290034992784993,759417987.5,3.462645404432829e+17,0.0,0.0,157,-0.5,36,858583,AmashupofhttptcoTdjYYLDOMandhttptcoVSKfYVAJanotherweirdInternetthingbyairhadokenHaveasnowclonetoaddTweetitairhadoken,1
2751246980,2751246980,BklynMuseumBot,128089999.43685102,1351,0,3.8211882438277636,0.9992603550295858,3.745318352059925,0,0,1.0,0.614396589531427,-0.012588149350649362,0.0,3.6295489154701286e+17,0.906,0.8571726011756546,151,-0.5,30,5769,IamabotthattweetsonerandomobjectfromtheBrooklynMuseumcollectionfourtimesadayBotbybackspacenotaffiliatedwithbrooklynmuseum,1
2835394560,2835394560,vaporfave,124721663.7172029,7.813084112149533,0.0048491976612125625,15.464091341606862,0.8865323435843054,12.048192771084338,0.011,0.233,0.0,0.7075939837722577,0.0,900043450.9033015,3.695815171995611e+17,0.0,0.0,123,0.5,25,22684,TweetstimesadaybetweenampmPSTWillprobablygetmorevaporwaveyastimegoesbyComplaintsbeaugunderson,1
2821046862,2821046862,moonmurmur,125494860.85004997,1,0,8.725724643883407,1,18.51851851851852,0,0.028,0.0,0.28052198015756263,0.030102063492063486,0.0,2.1845839721428013e+17,0.0,0.0,40,0.0,7,12674,thricedottedssubconsciouspossibly,1
2477378850,2477378850,AttentiveBot,137447949.602458,0.5785498489425982,0.03960190032476598,16.389529320121007,0.36650717703349284,333.3333333333333,0,0.934,0.999,0.5990378378385407,0.0018166666666666667,653141387.4137151,9.877195001270576e+16,0.9029029029029029,0.6667719824042838,59,0.0,13,26073,YoumayhavemissedsomethingsIwillhelpyoufindthem,1
820930460121300992,"""820930460121300992""","""LondonPogoMap""",52120777.38980007,1,0.021549947185166275,903.7185851571328,1,1000,0,0,2.0,0.5683586172288165,0.004885530303030304,0.0,3.841585912571455e+17,0.996,0.6051492085716155,78,0.41111111111111115,16,545168,RareandstrongPokmoninLondonSeemorePokmonathttpstcorqjskgpkE,1
2787454512,2787454512,CrisprPhages,126953348.60622191,67,0,0.6737593055958819,0.9852941176470589,1.6981132075471699,0,0.00101010101010101,1.0,0.2512786759642087,-0.002326646825396825,0.0,4.034886178593591e+17,1.0,0.75,95,0.5,15,1027,AtwitterbotpostingthelatestpubmedpublicationsonCRISPRsphagesvirussesandprophages,1
2360241721,2360241721,phy_papers,143392190.69939804,2156,0,12.132208814962356,0.9995363931386184,8.771929824561404,0,0,1.0,0.21530556035902879,0.015601590076590092,0.0,3.5008441752111834e+17,1.0,0.75,109,0.0,19,20392,ContinuousfeedforphylogeneticspapersfromPubMedarXivbioRxivandPeerJPrePrintsRunbyRobLanfear,1
177684507,177684507,rnomics,255040544.17599392,19.734513274336283,0.05792961290815291,53.88063785857254,0.9517712334613743,38.46153846153846,1.678,0.701,1.36,0.3194542969653952,0.2790311083684833,1.8293783850326397e+17,3.2477877981498234e+17,0.5705882352941176,0.21487445001514463,159,0.0,39,160117,RNomicsRNAbiologyRNAbioinformaticsRNAWorldevolutiontechnologiesresourcesdailypapershttpstcoUaHPfPIthttpstcocuczvAAdr,1
2293077919,2293077919,DiGRAThemes,146871909.49637294,1.75,0,9.84054204072081,0.6363636363636364,2.380952380952381,1,0,0.0,0.3997840516688339,-0.38477797619047177,915887497.5983372,1.8728492217879e+17,0.0,0.0,42,0.0,10,16728,DiGRAThemeGeneratorbyibogost,1
3069631373,3069631373,super_jeopardy,111215406.77041411,103,0,3.4477525293915017,0.9903846153846154,11.904761904761905,0,0,0.002,0.0172996051888819,0.04279020583583084,0.0,3.965204504197235e+17,1.0,0.3651483716701107,110,0.0,27,4438,ThisIsJeopardyImyourhostAlexTrebekandlovewrongshecatchesatrainliterallybyalicemazzy,1
2398623474,2398623474,Speed_1994,141405462.61181808,62.57142857142857,0.0006110089271245668,15.087643437486927,0.9842696629213483,23.25581395348837,0,0,0.0,0.02761526264371776,0.026867978896103907,3.580484310812512e+17,1.8119857323454986e+17,0.0,0.0,17,0.0,4,25371,tweetsonthe,1
8752222,8752222,TheUniverse,347398818.4394169,12.820388349514563,1.691446167375129,1.0763974433759091,0.9276431331225852,3.1645569620253164,0.077,1.088,0.226,0.05903928295403368,0.11855746121933614,1.7529443241780042e+17,2.056281464853996e+17,0.9469026548672567,0.2381615729815075,82,0.0,18,4364,AKAYACHTeverydaylaterraformsfauthorofBroadBandBookpenguinrandom,1
2553194245,2553194245,everywordNYT,134515154.22725892,1,0.0006423068129114289,34.57280651177057,1,83.33333333333333,0,0,1.0,0.2952071782108051,0.04955271885521877,0.0,2.2136112845576163e+17,0.857,0.6533065893318023,63,0.4,14,53826,AllthenewsthatfitineverywordTributebotbyrobdubbin,1
1945747520,1945747520,Exoriders,155483884.22042203,102,0,10.985884540795682,0.9902912621359223,22.727272727272727,0,0.999,0.994,0.4189239308945778,-0.015506926406926394,0.0,1.740422336170112e+17,0.39235412474849096,0.8866939738068121,160,0.13636363636363635,32,19770,TheyscourtheexoplanetsfordinosaursandwhentheyfindthemTHEYRIDETHEMNewExoridersatfiveafterchasingtheExosaursforeverBotbyrobinsloan,1
2479314061,2479314061,onlymanthings,137330963.11039996,1,0,3.5319755211362645,1,11.904761904761905,0,0,0.0,0.0746653764375727,0.14902307900432857,0.0,2.1308087735337888e+17,0.0,0.0,55,0.0,11,5614,MANTHINGSTHATONLYMENUNDERSTANDbythricedotted,1
3384759783,3384759783,crystalliser,99267114.88633108,1,0,0.05483386926509254,1,6.3,0,0.9047619047619048,0.0,0.6187996061919103,-0.1222222222222223,0.0,3.1652175257950106e+17,0.0,0.0,25,0.0,3,63,coagulatedbydeadcells,1
393504310,393504310,SeethingVortex,217728556.82914305,0.7926829268292683,83.61883376780409,12.755126109522243,0.4421768707482993,29.41176470588235,0.025,1.004,0.163,0.07370287527439487,0.025941535894660923,2.767476996021877e+17,4.263504773334382e+17,0.9877300613496932,0.5219109367314078,27,0.05,5,32752,anoldmanwithbigtiddies,1
174958347,174958347,Horse_ebooks,255692484.855433,11.187781395026668,0.0003379059030571432,6.361078625050721,0.9179506123724817,8.064516129032258,0,0,0.2,0.02233382376212525,0.06136296897546901,167301344.53650817,4.2941435728693875e+17,0.955,0.7466565291522029,12,0.0,1,18825,Horseebooks,1
2305621754,2305621754,FMKVote,146247962.35862494,657,0,1.521842741673414,0.9984802431610942,6.802721088435374,0,0.001,0.0,0.24139655214476297,-0.1683833333333347,0.0,6.759126175774509e+16,0.0,0.0,136,-0.4,44,2576,HOWTOVOTEreplytoatweetwithFMandKintheorderyouwanttovoteMFKmarryfuckkillAbotbytinysubversions,1
